Population,nYears,maxEsc,minEsc,sdEsc,meanEsc,cvEsc,variabilityEsc
Alexander,36,13940,333,3845.251327641312,5387.5,0.7137357452698491,41.86186186186186
Anchor,13,13273,2497,3729.5489140865416,7208.461538461538,0.5173848669632382,5.31557869443332
Campbell,34,1119,68,293.11252651835,654.8965517241379,0.44757072815038706,16.455882352941178
Chuitna,36,8984,1067,2232.9369046488086,3901.1470588235293,0.5723795773344152,8.419868791002811
Chulitna,34,20004,1482,4087.116197173186,6825.466666666666,0.598803920196888,13.497975708502024
Crooked,12,2196,617,508.71871134520626,1202,0.4232268813188072,3.559157212317666
Deep,36,2644,140,636.6373121541736,1252.142857142857,0.5084382413096652,18.885714285714286
Deshka,36,56659,7284,12788.643265342176,27906.454545454544,0.4582682921799256,7.778555738605162
Kenai.Late,30,68990,11639,14270.270785757732,35268.333333333336,0.4046199362721345,5.927485179139102
LittleSusitna,33,7712,1275,1294.0834185201006,3159.5862068965516,0.4095737016750657,6.048627450980392
LittleWillow,36,5311,702,1266.3515492200897,2551.3939393939395,0.4963371315058074,7.565527065527066
Montana,35,6829,924,1517.3347265563366,3636.6206896551726,0.41723755542407465,7.390692640692641
Ninilchik,17,2076,740,360.56987166559156,1188.4117647058824,0.3034048318722495,2.8054054054054056
Theodore,36,4936,398,1207.1644753670626,2032.6,0.5939016409362701,12.402010050251256
Willow,35,11244,1316,2406.084271650027,4993.411764705882,0.4818517648908027,8.544072948328267
